Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,00,2015-00,26.21,26.27,24.92,25.27,1439700.0,24.35,0.0,24.35,24.35
2015-01-05,2015,1,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,01,2015-01,25.28,25.6,24.91,25.09,1660300.0,24.17,-0.007122968441694022,24.26,24.26
2015-01-06,2015,1,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,01,2015-01,25.25,25.51,23.8,24.24,2426400.0,23.36,-0.033878140317050165,23.959999999999997,23.959999999999997
2015-01-07,2015,1,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,01,2015-01,24.39,24.96,24.17,24.35,1139500.0,23.46,0.004537929403417573,23.835,23.835
2015-01-08,2015,1,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,01,2015-01,24.85,25.95,24.63,25.53,1476900.0,24.6,0.04845999525713385,23.988,23.988
2015-01-09,2015,1,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,01,2015-01,25.68,25.89,25.0,25.13,818500.0,24.21,-0.015668004092530885,24.025000000000002,24.025000000000002
2015-01-12,2015,1,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,02,2015-02,25.05,25.22,24.03,24.22,1078900.0,23.34,-0.03621145999086228,23.927142857142858,23.927142857142858
2015-01-13,2015,1,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,02,2015-02,24.46,24.9,24.0,24.37,750300.0,23.48,0.006193180007045385,23.87125,23.87125
2015-01-14,2015,1,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,02,2015-02,24.2,24.26,23.23,23.79,942100.0,22.92,-0.023799654332745,23.765555555555554,23.765555555555554
2015-01-15,2015,1,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,02,2015-02,23.8,24.78,23.8,24.21,1139200.0,23.33,0.017654303533964466,23.721999999999998,23.721999999999998
2015-01-16,2015,1,16,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,02,2015-02,24.09,24.24,23.51,24.1,1186900.0,23.22,-0.004543552716928745,23.676363636363632,23.676363636363632
2015-01-20,2015,1,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,03,2015-03,24.22,24.75,24.03,24.72,962600.0,23.82,0.025726181978579454,23.68833333333333,23.68833333333333
2015-01-21,2015,1,21,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,03,2015-03,24.91,25.36,24.38,25.23,727000.0,24.31,0.02063121101697951,23.73615384615384,23.73615384615384
2015-01-22,2015,1,22,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,03,2015-03,25.61,26.28,25.04,25.9,1345900.0,24.95,0.026555575781161744,23.82285714285714,23.82285714285714
2015-01-23,2015,1,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,03,2015-03,26.0,26.65,25.65,26.64,1129600.0,25.67,0.02857139799874253,23.917142857142853,23.945999999999994
