Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,00,2015-00,18.04,18.16,17.74,17.93,5486500.0,14.02,0.0,14.02,14.02
2015-01-05,2015,1,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,01,2015-01,17.84,17.96,17.66,17.76,10365000.0,13.89,-0.009481407225192306,13.955,13.955
2015-01-06,2015,1,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,01,2015-01,17.73,17.94,17.56,17.73,10353400.0,13.87,-0.001689185361830825,13.926666666666668,13.926666666666668
2015-01-07,2015,1,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,01,2015-01,17.86,17.86,17.48,17.56,6979600.0,13.73,-0.009588498890804265,13.877500000000001,13.877500000000001
2015-01-08,2015,1,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,01,2015-01,17.71,18.13,17.7,17.91,7824200.0,14.01,0.01993166856476214,13.904000000000002,13.904000000000002
2015-01-09,2015,1,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,01,2015-01,17.91,18.05,17.73,17.93,4654000.0,14.02,0.0011170100352519974,13.923333333333334,13.923333333333334
2015-01-12,2015,1,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,02,2015-02,17.94,18.02,17.73,17.82,3551400.0,13.94,-0.006135136219610815,13.925714285714287,13.925714285714287
2015-01-13,2015,1,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,02,2015-02,17.95,18.1,17.67,17.8,3801500.0,13.92,-0.001122446046906922,13.925,13.925
2015-01-14,2015,1,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,02,2015-02,17.49,17.57,17.16,17.27,6795000.0,13.51,-0.029775059177376106,13.87888888888889,13.87888888888889
2015-01-15,2015,1,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,02,2015-02,17.22,17.37,16.91,17.0,6082200.0,13.3,-0.015634011420514793,13.821000000000002,13.821000000000002
2015-01-16,2015,1,16,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,02,2015-02,16.95,17.22,16.92,17.22,5626500.0,13.47,0.01294102659705798,13.789090909090909,13.789090909090909
2015-01-20,2015,1,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,03,2015-03,17.26,17.39,17.0,17.01,4520000.0,13.3,-0.012195024366609464,13.748333333333335,13.748333333333335
2015-01-21,2015,1,21,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,03,2015-03,16.92,17.2,16.89,17.16,4179600.0,13.42,0.008818321922301031,13.723076923076924,13.723076923076924
2015-01-22,2015,1,22,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,03,2015-03,17.27,17.65,17.13,17.6,3329200.0,13.76,0.025641156830943146,13.725714285714286,13.725714285714286
2015-01-23,2015,1,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,03,2015-03,17.63,17.7,17.47,17.61,4714400.0,13.77,0.000568134263706277,13.707857142857142,13.728666666666667
2015-01-26,2015,1,26,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,04,2015-04,17.62,17.74,17.43,17.72,3662600.0,13.86,0.00624606686550222,13.705714285714285,13.736875000000001
2015-01-27,2015,1,27,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,04,2015-04,17.53,17.53,17.29,17.37,3791900.0,13.58,-0.01975142465287738,13.685,13.727647058823532
2015-01-28,2015,1,28,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,04,2015-04,17.47,17.48,16.93,16.96,4404900.0,13.26,-0.023604329784149614,13.651428571428571,13.701666666666668
2015-01-29,2015,1,29,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,04,2015-04,16.98,17.14,16.87,17.13,3142300.0,13.4,0.010023758379495096,13.607857142857144,13.685789473684212
2015-01-30,2015,1,30,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,04,2015-04,16.98,17.2,16.81,17.0,7602400.0,13.3,-0.007588677775903219,13.556428571428572,13.666500000000003
2015-02-02,2015,2,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd77669f6a0>>,05,2015-05,16.73,17.43,16.73,17.41,7951200.0,13.62,0.024117997016892323,13.533571428571431,13.664285714285716
