Date,Baseline Period,Actual Consumption (kWh),Avg WB Temperature (°F),Product A,Product B,Seasonal Indicator,"Max (AvgWB,55) (°F)",Total Production,Expected Consumption (kWh),Actual Minus Expected (kWh),Cumulative Energy Savings (kWh)
1/1/2014,1000000.00,53757.39,53.14,135249.76,273359.78,0.00,55.00,408609.53,65195.52,11438.13,0.00
1/2/2014,1000000.00,47778.01,51.45,0.00,0.00,0.00,55.00,0.00,50894.19,3116.17,3116.17
1/3/2014,1000000.00,70153.83,41.39,147185.53,346725.65,0.00,55.00,493911.18,68181.08,-1972.75,1143.42
1/4/2014,1000000.00,72805.76,35.97,249292.60,349968.46,0.00,55.00,599261.06,71868.32,-937.43,205.99
1/5/2014,1000000.00,70841.87,36.07,245493.57,343220.03,0.00,55.00,588713.60,71499.16,657.29,863.28
1/6/2014,1000000.00,63689.89,43.50,279235.74,0.00,0.00,55.00,279235.74,60667.44,-3022.46,-2159.18
1/7/2014,1000000.00,57914.31,38.58,141725.30,0.00,0.00,55.00,141725.30,55854.57,-2059.74,-4218.92
1/8/2014,1000000.00,68507.71,45.24,123323.54,291907.22,0.00,55.00,415230.76,65427.26,-3080.45,-7299.37
1/9/2014,1000000.00,70658.97,52.92,253445.36,413516.11,0.00,55.00,666961.46,74237.84,3578.87,-3720.50
1/10/2014,1000000.00,80445.27,60.49,244107.89,422853.57,0.00,60.49,666961.46,77760.00,-2685.28,-6405.78
1/11/2014,1000000.00,74690.57,63.80,218493.89,447646.01,0.00,63.80,666139.90,79860.05,5169.48,-1236.30
1/12/2014,1000000.00,75364.60,60.10,226429.94,361699.78,0.00,60.10,588129.72,74749.50,-615.10,-1851.39
1/13/2014,1000000.00,65989.45,61.71,211196.53,0.00,0.00,61.71,211196.53,62591.82,-3397.63,-5249.02
1/14/2014,1000000.00,69756.10,64.20,48819.94,0.00,0.00,64.20,48819.94,58507.92,-11248.18,-16497.20
1/15/2014,1000000.00,70383.87,61.68,125672.13,282354.26,0.00,61.68,408026.39,69459.47,-924.40,-17421.60
1/16/2014,1000000.00,78083.06,65.14,206844.20,403315.68,0.00,65.14,610159.88,78756.56,673.49,-16748.11
